date,demand,sku,supermarket
2019-01-01,93.0,desperados,albert-heijn
2019-01-02,93.0,desperados,albert-heijn
2019-01-03,94.0,desperados,albert-heijn
2019-01-04,95.0,desperados,albert-heijn
2019-01-05,92.0,desperados,albert-heijn
2019-01-06,87.0,desperados,albert-heijn
2019-01-07,90.0,desperados,albert-heijn
2019-01-08,90.0,desperados,albert-heijn
2019-01-09,92.0,desperados,albert-heijn
2019-01-10,93.0,desperados,albert-heijn
2019-01-11,,desperados,albert-heijn
2019-01-12,,desperados,albert-heijn
2019-01-13,90.0,desperados,albert-heijn
2019-01-14,89.0,desperados,albert-heijn
2019-01-15,91.0,desperados,albert-heijn
2019-01-16,93.0,desperados,albert-heijn
2019-01-17,95.0,desperados,albert-heijn
2019-01-18,91.0,desperados,albert-heijn
2019-01-19,90.0,desperados,albert-heijn
2019-01-20,88.0,desperados,albert-heijn
2019-01-21,86.0,desperados,albert-heijn
2019-01-22,92.0,desperados,albert-heijn
2019-01-23,94.0,desperados,albert-heijn
2019-01-24,92.0,desperados,albert-heijn
2019-01-25,95.0,desperados,albert-heijn
2019-01-26,88.0,desperados,albert-heijn
2019-01-27,89.0,desperados,albert-heijn
2019-01-28,89.0,desperados,albert-heijn
2019-01-29,93.0,desperados,albert-heijn
2019-01-30,470.0,desperados,albert-heijn
2019-01-31,93.0,desperados,albert-heijn
2019-02-01,93.0,desperados,albert-heijn
2019-02-02,89.0,desperados,albert-heijn
2019-02-03,86.0,desperados,albert-heijn
2019-02-04,89.0,desperados,albert-heijn
2019-02-05,,desperados,albert-heijn
2019-02-06,95.0,desperados,albert-heijn
2019-02-07,95.0,desperados,albert-heijn
2019-02-08,92.0,desperados,albert-heijn
2019-02-09,90.0,desperados,albert-heijn
2019-02-10,88.0,desperados,albert-heijn
2019-02-11,88.0,desperados,albert-heijn
2019-02-12,89.0,desperados,albert-heijn
2019-02-13,,desperados,albert-heijn
2019-02-14,93.0,desperados,albert-heijn
2019-02-15,92.0,desperados,albert-heijn
2019-02-16,89.0,desperados,albert-heijn
2019-02-17,91.0,desperados,albert-heijn
2019-02-18,88.0,desperados,albert-heijn
2019-02-19,92.0,desperados,albert-heijn
2019-02-20,92.0,desperados,albert-heijn
2019-02-21,94.0,desperados,albert-heijn
2019-02-22,92.0,desperados,albert-heijn
2019-02-23,89.0,desperados,albert-heijn
2019-02-24,90.0,desperados,albert-heijn
2019-02-25,91.0,desperados,albert-heijn
2019-02-26,92.0,desperados,albert-heijn
2019-02-27,94.0,desperados,albert-heijn
2019-02-28,93.0,desperados,albert-heijn
2019-03-01,93.0,desperados,albert-heijn
2019-03-02,91.0,desperados,albert-heijn
2019-03-03,90.0,desperados,albert-heijn
2019-03-04,90.0,desperados,albert-heijn
2019-03-05,90.0,desperados,albert-heijn
2019-03-06,94.0,desperados,albert-heijn
2019-03-07,,desperados,albert-heijn
2019-03-08,91.0,desperados,albert-heijn
2019-03-09,92.0,desperados,albert-heijn
2019-03-10,90.0,desperados,albert-heijn
2019-03-11,91.0,desperados,albert-heijn
2019-03-12,94.0,desperados,albert-heijn
2019-03-13,95.0,desperados,albert-heijn
2019-03-14,97.0,desperados,albert-heijn
2019-03-15,92.0,desperados,albert-heijn
2019-03-16,,desperados,albert-heijn
2019-03-17,90.0,desperados,albert-heijn
2019-03-18,90.0,desperados,albert-heijn
2019-03-19,92.0,desperados,albert-heijn
2019-03-20,94.0,desperados,albert-heijn
2019-03-21,95.0,desperados,albert-heijn
2019-03-22,93.0,desperados,albert-heijn
2019-03-23,94.0,desperados,albert-heijn
2019-03-24,92.0,desperados,albert-heijn
2019-03-25,90.0,desperados,albert-heijn
2019-03-26,96.0,desperados,albert-heijn
2019-03-27,,desperados,albert-heijn
2019-03-28,97.0,desperados,albert-heijn
2019-03-29,94.0,desperados,albert-heijn
2019-03-30,92.0,desperados,albert-heijn
2019-03-31,93.0,desperados,albert-heijn
2019-04-01,92.0,desperados,albert-heijn
2019-04-02,96.0,desperados,albert-heijn
2019-04-03,,desperados,albert-heijn
2019-04-04,98.0,desperados,albert-heijn
2019-04-05,96.0,desperados,albert-heijn
2019-04-06,94.0,desperados,albert-heijn
2019-04-07,,desperados,albert-heijn
2019-04-08,95.0,desperados,albert-heijn
2019-04-09,95.0,desperados,albert-heijn
2019-04-10,,desperados,albert-heijn
2019-04-11,99.0,desperados,albert-heijn
